time,length
0.13277004718780516,1
0.1328167200088501,2
0.13300941944122313,4
0.13293444633483886,8
0.13318063735961913,16
0.13342321872711183,32
0.13305071353912354,64
0.1332156801223755,128
0.13327055931091308,256
0.1332896137237549,512
0.13259439945220947,1024
0.1327303409576416,2048
0.13311715602874755,4096
0.13443439960479736,8192
0.2416919231414795,16384
0.3026696586608887,32768
0.5451596021652222,65536
0.9288012266159058,131072
1.5644131469726563,262144
2.6842982244491576,524288
