instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
1972534097.96,2796204.98,9583246.4,22385517.24,568874466.34,0.90490078296,741124.24,3276032.9,1
1959917730.38,2824632.38,9616926.44,21995852.4,566562058.8,0.8931443710999999,733300.82,3376951.12,2
1960351294.36,2790920.32,9584577.04,21937958.38,568079802.84,0.8919026424000001,744025.18,3386914.76,4
1962256950.06,2800347.42,9563478.64,21956194.86,567314748.02,0.8910849647400001,746582.74,3393926.6,8
1962207919.9,2812392.96,9615796.68,22100240.38,568005740.56,0.8959619303,765599.9,3317130.08,16
1965172159.88,2824019.32,9617126.36,22364405.32,567425779.86,0.8966498788999999,779647.64,3258871.86,32
1962171749.26,2851574.96,9618287.32,22051897.02,566750980.32,0.8925527909800002,756468.7,3327141.8,64
1964504246.88,2862004.46,9650628.9,22074462.2,567520329.48,0.89645063374,750751.88,3355033.56,128
1961712123.24,2837041.16,9716394.7,22092557.12,568457559.22,0.8929498077400001,772485.56,3361792.66,256
1974124230.78,2851354.32,9726656.08,22523545.56,571042459.56,0.9017009674999998,781771.96,3243683.82,512
1970775131.14,2982284.78,9968489.86,22359825.24,571902923.02,0.8970940374600002,787939.28,3263117.3,1024
1985081048.84,2875322.74,10099266.9,22804508.66,576448891.2,0.9029886549999998,697452.88,3074155.3,2048
2021198780.4,3075723.12,9792074.16,22948522.22,579644385.6,0.9096596096999999,548314.86,3045951.04,4096
2058780804.86,3051910.04,10176919.48,23203597.42,597563986.3,0.92959714798,714984.28,3184117.96,8192
2171597770.5,3198372.02,9990152.98,24161482.94,620625849.32,0.96594951044,545640.34,3098634.64,16384
2364018537.06,3100629.14,10341683.26,25536831.62,679192204.56,1.0419724871,810015.68,3243583.76,32768
2784690995.36,3415683.26,10457153.54,28765050.0,787376233.26,1.19262227014,626726.76,3353797.9,65536
3608191202.68,3712102.42,11390809.04,34905986.78,1007288762.32,1.4935949665000003,843704.16,3324241.2,131072
3331880686.6,3983467.54,11048974.1,32432400.7,931712729.12,1.3893656390600002,739753.64,3596788.26,262144
2758829149.92,3359628.16,10706638.24,28206206.06,781608580.1,1.1834568591799997,836100.66,3241238.88,524288
