time,length
0.13206374168395996,1
0.1315125608444214,2
0.1316032361984253,4
0.13114547729492188,8
0.13173377990722657,16
0.13165441036224365,32
0.13231555938720704,64
0.13208176136016847,128
0.1324608278274536,256
0.13231574058532714,512
0.132267746925354,1024
0.13243618488311767,2048
0.1323464632034302,4096
0.1329968547821045,8192
0.13294145584106445,16384
0.14660246372222902,32768
0.24135831832885743,65536
0.43874975681304934,131072
0.7438426780700683,262144
1.3256605768203735,524288
