instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
1962550790.96,2808960.2,9545959.12,21786399.96,567196251.9,0.8943576509600001,710889.98,3445215.84,1
1962452345.3,2793332.1,9536893.26,21772149.14,567091706.44,0.8939820753799996,700298.5,3494829.08,2
1965125979.36,2819226.44,9505244.16,21718717.16,567244009.24,0.8959936297400003,682901.62,3459624.3,4
1962736829.3,2818549.1,9529003.9,21728507.32,567166484.46,0.8938613599799998,697201.56,3476832.12,8
1965883907.5,2854455.22,9498305.14,21760410.02,567065015.42,0.8944583863600001,682677.66,3457936.06,16
1966828815.38,2845257.24,9511704.22,21991380.78,567680741.66,0.8965700723000002,716315.2,3425111.26,32
1967782749.32,2846755.74,9560839.24,21958318.68,567057203.52,0.89779077416,710903.48,3393771.02,64
1964234538.26,2827983.48,9648060.46,21921484.58,567434702.24,0.8966977666199999,738522.82,3372577.56,128
1972268878.62,2889010.28,9650297.08,22154149.08,569152137.06,0.9025962691399998,732352.82,3399344.8,256
1972806274.48,2872787.18,9780091.0,22353962.94,571125713.68,0.8983966357600001,767878.52,3336328.16,512
1981785863.9,2936891.98,9738099.24,22492725.42,574028315.94,0.9072100214799999,748375.78,3263188.62,1024
1993989508.54,2965414.5,10015414.22,22851617.04,578213021.94,0.90774030568,682340.48,3127861.22,2048
2029782926.46,2985702.32,9511544.4,22743194.66,581356083.24,0.91469459748,580427.16,3251779.92,4096
2080211145.78,3111365.26,9964806.48,22998448.32,602064605.86,0.9422078090800001,607480.28,3210885.7,8192
2201473628.18,2819950.72,9722496.6,23167393.18,631907080.46,0.9805309001199999,770679.48,3387374.14,16384
2433285782.84,3002373.52,10052509.24,24354078.02,695872377.4,1.0620167953800002,785181.52,3289836.76,32768
2894186731.94,3351831.14,10629611.96,26527426.7,829002912.54,1.2322389922,754698.96,3317863.58,65536
3824013590.52,4120540.84,11744558.94,30952291.72,1092680065.1,1.5766027223399999,854784.12,3392138.2,131072
3227593786.22,3584129.76,10750558.82,28026604.86,929239543.64,1.35657686556,827707.52,3455886.24,262144
2057295427.76,3029125.08,10068946.92,23026327.0,598185855.32,0.9297872454999998,730386.7,3243668.46,524288
