time,length
0.13308238506317138,1
0.13279615402221678,2
0.13268956184387207,4
0.13277573585510255,8
0.13259868144989015,16
0.1331184434890747,32
0.13261138916015625,64
0.1326162624359131,128
0.13302494525909425,256
0.13264982223510743,512
0.13277079105377199,1024
0.13254345417022706,2048
0.1323585319519043,4096
0.13216517448425294,8192
0.131791672706604,16384
0.13247958183288575,32768
0.1331724691390991,65536
0.24276716709136964,131072
0.4362721109390259,262144
0.71526113986969,524288
