time,length
0.4170908260345459,1
0.4015073299407959,2
0.3949592971801758,4
0.3950383710861206,8
0.38402242183685303,16
0.39492709159851075,32
0.3925935935974121,64
0.38605221748352053,128
0.3901712036132812,256
0.39278698444366456,512
0.40647478103637696,1024
0.3888530111312866,2048
0.43839594841003415,4096
0.4558995676040649,8192
0.4581696939468384,16384
0.45823421478271487,32768
0.45740111827850344,65536
0.5592247486114502,131072
0.674320969581604,262144
0.8926695966720581,524288
