instructions,cache-misses,cache-references,L1-dcache-load-misses,L1-dcache-loads,time,LLC-load-misses,LLC-loads,length
119703082.28,146766.64,1079004.92,2095110.54,32579947.52,0.0360495066,22141.52,198498.78,1
119655492.04,144789.7,1079727.0,2094333.08,32571957.84,0.03593719089999999,21725.3,198749.84,2
119662891.28,148132.62,1082085.82,2096673.98,32572505.1,0.036249868479999996,22066.78,200569.96,4
119680406.08,148363.78,1081944.22,2097647.24,32580448.9,0.036152694939999994,22103.7,200356.52,8
119763205.92,146289.36,1082458.92,2098329.9,32601046.3,0.03598547459999999,21892.56,200601.16,16
119843327.8,144662.88,1082825.26,2097574.68,32620480.38,0.03599493304,21796.02,200273.98,32
120092777.84,146248.06,1083272.42,2099663.36,32683712.44,0.03618274839999999,21788.58,201171.42,64
120493879.28,146650.2,1085549.46,2101654.68,32790619.58,0.03632342783999999,22111.6,201947.78,128
121369767.34,149562.96,1087505.98,2107932.26,33012931.36,0.03661127564,22245.9,202636.14,256
123105795.74,148901.24,1091491.38,2120313.38,33459798.54,0.037018753019999996,22639.32,203784.02,512
126584576.22,145352.46,1098667.52,2142009.9,34349452.64,0.03753565728,22198.68,205710.4,1024
133755174.82,145675.18,1111651.62,2186197.88,36180375.7,0.03890632932,22579.72,208020.84,2048
148231589.42,152984.38,1142672.5,2283858.92,39893924.26,0.04127460156,22919.34,212219.4,4096
177309738.98,178703.68,1240064.98,2471203.86,47349743.3,0.047228793600000006,25542.4,227864.18,8192
236458586.16,234502.08,1454219.48,2851365.28,62525412.8,0.059027567,31349.72,269767.34,16384
